year_1,year_2,ari,nmi,n_common,level
2021,2022,0.2952024248600539,0.5534846165357569,59,CD
2021,2023,0.24223333746006748,0.511319686964686,59,CD
2022,2023,0.252343368096481,0.5269555726675843,59,CD
2021,2022,0.1994620561293319,0.31796947624259114,191,NTA
2021,2023,0.23676103161721,0.3569167888509911,192,NTA
2022,2023,0.17382992124228727,0.3409973176291736,193,NTA
