ntacode,2021,2022,2023,nta_name,transition_2021_2022,transition_2022_2023,n_unique_clusters,is_stable
BX0701,2,2,1,University Heights (North)-Fordham,2 -> 2,2 -> 1,2,False
BX0702,4,2,3,Bedford Park,4 -> 2,2 -> 3,3,False
BX0703,4,6,3,Norwood,4 -> 6,6 -> 3,3,False
BX0801,4,2,1,Kingsbridge Heights-Van Cortlandt Village,4 -> 2,2 -> 1,3,False
BX0802,4,6,3,Kingsbridge-Marble Hill,4 -> 6,6 -> 3,3,False
BX0803,0,4,6,Riverdale-Spuyten Duyvil,0 -> 4,4 -> 6,3,False
BX0901,4,6,4,Soundview-Bruckner-Bronx River,4 -> 6,6 -> 4,2,False
BX0902,2,6,4,Soundview-Clason Point,2 -> 6,6 -> 4,3,False
BX0903,4,6,4,Castle Hill-Unionport,4 -> 6,6 -> 4,2,False
BX0904,0,0,1,Parkchester,0 -> 0,0 -> 1,2,False
BX1001,4,6,3,Westchester Square,4 -> 6,6 -> 3,3,False
BX1002,4,2,4,Throgs Neck-Schuylerville,4 -> 2,2 -> 4,2,False
BX1003,1,1,1,Pelham Bay-Country Club-City Island,1 -> 1,1 -> 1,1,True
BX1004,0,6,-1,Co-op City,0 -> 6,6 -> -1,3,False
BX1101,4,2,1,Pelham Parkway-Van Nest,4 -> 2,2 -> 1,3,False
BX1102,0,0,1,Morris Park,0 -> 0,0 -> 1,2,False
BX1103,0,1,1,Pelham Gardens,0 -> 1,1 -> 1,2,False
BX1104,0,2,1,Allerton,0 -> 2,2 -> 1,3,False
BX1201,4,2,3,Williamsbridge-Olinville,4 -> 2,2 -> 3,3,False
BX1202,4,2,4,Eastchester-Edenwald-Baychester,4 -> 2,2 -> 4,2,False
BX1203,6,3,4,Wakefield-Woodlawn,6 -> 3,3 -> 4,3,False
MN0101,3,4,6,Financial District-Battery Park City,3 -> 4,4 -> 6,3,False
MN0102,3,4,6,Tribeca-Civic Center,3 -> 4,4 -> 6,3,False
MN0201,1,1,6,SoHo-Little Italy-Hudson Square,1 -> 1,1 -> 6,2,False
MN0202,8,4,6,Greenwich Village,8 -> 4,4 -> 6,3,False
MN0203,1,4,6,West Village,1 -> 4,4 -> 6,3,False
MN0301,1,1,3,Chinatown-Two Bridges,1 -> 1,1 -> 3,2,False
MN0302,2,1,3,Lower East Side,2 -> 1,1 -> 3,3,False
MN0303,2,1,7,East Village,2 -> 1,1 -> 7,3,False
MN0401,7,7,2,Chelsea-Hudson Yards,7 -> 7,7 -> 2,2,False
MN0402,1,1,3,Hell's Kitchen,1 -> 1,1 -> 3,2,False
MN0501,3,4,6,Midtown South-Flatiron-Union Square,3 -> 4,4 -> 6,3,False
MN0502,3,4,6,Midtown-Times Square,3 -> 4,4 -> 6,3,False
MN0601,0,4,1,Stuyvesant Town-Peter Cooper Village,0 -> 4,4 -> 1,3,False
MN0602,3,4,6,Gramercy,3 -> 4,4 -> 6,3,False
MN0603,3,7,2,Murray Hill-Kips Bay,3 -> 7,7 -> 2,3,False
MN0604,3,4,6,East Midtown-Turtle Bay,3 -> 4,4 -> 6,3,False
MN0701,7,7,2,Upper West Side-Lincoln Square,7 -> 7,7 -> 2,2,False
MN0702,3,7,2,Upper West Side (Central),3 -> 7,7 -> 2,3,False
MN0703,1,2,2,Upper West Side-Manhattan Valley,1 -> 2,2 -> 2,2,False
MN0801,3,4,6,Upper East Side-Lenox Hill-Roosevelt Island,3 -> 4,4 -> 6,3,False
MN0802,3,4,2,Upper East Side-Carnegie Hill,3 -> 4,4 -> 2,3,False
MN0803,3,4,6,Upper East Side-Yorkville,3 -> 4,4 -> 6,3,False
MN0901,3,4,6,Morningside Heights,3 -> 4,4 -> 6,3,False
MN0902,2,2,7,Manhattanville-West Harlem,2 -> 2,2 -> 7,2,False
MN0903,2,2,7,Hamilton Heights-Sugar Hill,2 -> 2,2 -> 7,2,False
MN1001,2,0,7,Harlem (South),2 -> 0,0 -> 7,3,False
MN1002,0,2,7,Harlem (North),0 -> 2,2 -> 7,3,False
MN1101,0,2,7,East Harlem (South),0 -> 2,2 -> 7,3,False
MN1102,0,2,3,East Harlem (North),0 -> 2,2 -> 3,3,False
MN1201,2,6,7,Washington Heights (South),2 -> 6,6 -> 7,3,False
MN1202,2,6,7,Washington Heights (North),2 -> 6,6 -> 7,3,False
MN1203,2,6,7,Inwood,2 -> 6,6 -> 7,3,False
QN0101,1,1,3,Astoria (North)-Ditmars-Steinway,1 -> 1,1 -> 3,2,False
QN0102,1,4,8,Old Astoria-Hallets Point,1 -> 4,4 -> 8,3,False
QN0103,1,1,3,Astoria (Central),1 -> 1,1 -> 3,2,False
QN0104,1,1,3,Astoria (East)-Woodside (North),1 -> 1,1 -> 3,2,False
QN0105,1,2,3,Queensbridge-Ravenswood-Dutch Kills,1 -> 2,2 -> 3,3,False
QN0201,1,4,6,Long Island City-Hunters Point,1 -> 4,4 -> 6,3,False
QN0202,8,2,1,Sunnyside,8 -> 2,2 -> 1,3,False
QN0203,3,1,3,Woodside,3 -> 1,1 -> 3,2,False
QN0301,8,2,0,Jackson Heights,8 -> 2,2 -> 0,3,False
QN0302,4,6,4,East Elmhurst,4 -> 6,6 -> 4,2,False
QN0303,4,6,4,North Corona,4 -> 6,6 -> 4,2,False
QN0401,8,2,3,Elmhurst,8 -> 2,2 -> 3,3,False
QN0402,4,2,3,Corona,4 -> 2,2 -> 3,3,False
QN0501,4,6,3,Maspeth,4 -> 6,6 -> 3,3,False
QN0502,1,1,3,Ridgewood,1 -> 1,1 -> 3,2,False
QN0503,1,2,4,Glendale,1 -> 2,2 -> 4,3,False
QN0504,4,1,0,Middle Village,4 -> 1,1 -> 0,3,False
QN0601,1,0,1,Rego Park,1 -> 0,0 -> 1,2,False
QN0602,0,2,1,Forest Hills,0 -> 2,2 -> 1,3,False
QN0701,7,7,0,College Point,7 -> 7,7 -> 0,2,False
QN0702,1,7,2,Whitestone-Beechhurst,1 -> 7,7 -> 2,3,False
QN0703,8,6,1,Bay Terrace-Clearview,8 -> 6,6 -> 1,3,False
QN0704,3,4,1,Murray Hill-Broadway Flushing,3 -> 4,4 -> 1,3,False
QN0705,0,0,1,East Flushing,0 -> 0,0 -> 1,2,False
QN0706,8,6,0,Queensboro Hill,8 -> 6,6 -> 0,3,False
QN0707,8,1,7,Flushing-Willets Point,8 -> 1,1 -> 7,3,False
QN0801,0,2,1,Kew Gardens Hills,0 -> 2,2 -> 1,3,False
