ntacode,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,share_evening,share_early_am,share_core_night,share_predawn,late_night_share,weekend_uplift,warm_season_ratio
BK0501,-0.020728427536222043,-0.10874890673606345,-0.010285327852544875,0.7129382467046462,1.406837410000684,0.3671704942637389,-0.6014255706621037,-0.9760011160999128,-0.30372171731650094,-0.17034137685719988,1.2933764615967867,1.3218584774636213,-1.1998697160398237,-1.3093012663501584,-1.304160838479716,1.2647782213433219,0.9441620081213296
BK0502,-0.19431044039225304,-0.33173850539348887,0.41869770659976985,0.5968652294269294,0.2283709972970152,-0.5669250153629207,-0.27352505626078505,-0.5705177803079104,-0.28289182461348145,-0.2481678884240495,0.7535491215688868,0.5296735798635367,-1.1147504064163216,-0.4898959798470085,-1.1318449455796187,1.279066991282986,0.7531483188624231
BK0503,-0.1590826308267896,-0.4516962889120987,0.7725081704558364,0.178492661518816,0.2023725714336566,-0.4945223946324535,-0.44752141009240226,-0.8001913986620962,-0.30372171731650094,-0.019771889471257555,0.8818248577890645,0.6912999021165434,-1.1252489681318554,-0.6789153352354501,-1.0903255403840686,0.944730270384201,0.8606648507216481
BK0504,-0.4111941690117305,-0.7222316080537428,0.8696790926326173,-0.6853832366365769,-0.9036444875555291,0.20745378054094982,0.5042769460565327,-0.22297354962949137,-0.30372171731650094,-0.2481678884240495,-1.1852838145389128,0.09213528970468846,0.5897424551848981,0.9358716190197572,1.1306257862965468,-0.7870808701145479,-0.7330709343983772
BK0505,-0.31221705018085544,-0.4438583194172144,1.0526046898195667,-0.11767286625302888,-0.660026987227874,-0.018303102451487144,-0.37904270494004083,-1.008984458339253,-0.2919493172832214,1.6219419726643165,0.0628491857132597,0.5314741745009515,-0.8189549965573746,0.09595662601784824,-0.3196601793178861,-0.18575240176980956,0.22404134026955605
BK0601,0.5102174943476537,-0.1117312922194529,-1.8602351443463758,-0.42971176755097923,-0.3959438478855016,-0.8299249478830832,-0.47476980029565574,0.1443874136053961,3.3219226084192246,-0.2481678884240495,-1.2140161928182966,-0.5053962485733959,1.6067447590161257,0.7421417833714952,1.5219986542254347,-1.187269097133179,-0.9762052818485697
BK0602,-0.21928156681680647,-0.13074256648966825,-1.9346029688926336,-0.7193882722565598,0.30983767698026893,0.14713901983995398,-0.49940456525352844,1.8139380488164216,1.4501686696003557,-0.02106691833129917,-1.4586508535976366,-1.3131998806372691,1.0518991182601949,1.5426313948383001,0.8609332663552536,-0.7792071671177294,-0.7101366701061923
BK0701,-0.44197068783576937,-0.5283435980998568,-1.198277995160521,-0.7138025918444844,0.570729782983723,0.542754610471452,-0.6014255706621037,2.097909186643472,-0.07395338333363274,-0.2481678884240495,-1.6415918188758267,-1.2540050567926153,0.8883065120240717,1.7822333869332205,0.5794594684475196,-1.0852748657682894,-0.6881814882482149
BK0702,-0.21067190630193297,-0.5140799591941771,-0.9567899317048362,0.24250493619127628,1.4118064367858887,-0.10440234003860877,9.83909047914796,0.19136384545848162,-0.2814356225285994,-0.2481678884240495,-0.2109033551621998,-0.4670891172530359,-0.01846282668566709,0.4019135028186862,0.07796300321478357,-0.43155355188807504,-0.26512515768490275
BK0703,-0.33772592154455733,-0.25839514907855254,-0.44844314874311353,1.3214120335872848,0.869424548154221,-0.0842073880144776,1.2786506429985138,-0.4531722074135747,-0.30372171731650094,-0.12134696672573757,0.6230373572471722,0.27991327834283036,-0.6913773781917618,-0.44716233629648916,-0.7043330995070025,0.16948030943940295,-0.7357464643013673
BK0801,1.2200289711550687,1.7836246110344431,-2.050556176463452,-1.378070078639901,-0.7487872517912322,-1.0113921108251185,-0.3922807127973951,-0.3934984308804296,4.913775706731954,-0.19643888971793988,-1.2915515614497417,-0.41232411694762305,1.3743309960693935,0.8899625561864163,1.2712283516233238,-1.420848880972205,-1.1501096061896818
BK0802,0.1265834941391809,0.3960969667784493,-0.06389084036788964,-0.25610048006615405,-0.13700359594298517,-0.10333986387777638,-0.23665402270299582,0.06875905018937573,0.3403270932639255,-0.2481678884240495,-0.3993583876302556,-1.139074458164989,0.5558295036217336,0.5965396606004321,0.08929952575829607,-0.4270286274939021,-0.09296973594285814
BK0901,-0.14051280109883943,0.09036972974620605,0.09793733297215865,0.3686767132560295,-0.5870966915990387,-0.5060976832659332,-0.6014255706621037,0.37076025499890003,-0.21197767086425517,0.3482123240699413,-1.2122542662918478,-1.072353721227795,0.6599423161067564,1.369179353733231,0.5310972754116087,-1.2495580571784175,-0.9225851867763131
BK0902,0.20375917061939938,0.24445989685190422,-0.06852064897945187,0.5402843154407388,0.11780614892007296,0.24689671448363953,0.04655069504678076,-0.2426903738940085,-0.22940014489832472,-0.19474532482759796,0.33634623721241025,-0.04902200892388632,-0.5456580416814182,-0.09058735262918145,-0.7374377738686569,-0.4991011192016891,-0.622995493838738
BK1001,-0.25079799029429695,-0.443668107081263,-0.32444067345848193,-0.4845262749894736,1.0078483277993247,0.5518679870829565,0.497713028396962,0.4460375390561206,-0.27663527794464077,-0.2481678884240495,-0.3535197505467265,-0.5402615221654918,0.06409196003432026,0.5409814774698619,0.22088626280474077,-0.1443814759433774,-0.4431229187019194
BK1002,-0.5063743272651121,-0.633235485891014,0.08925866330129188,-0.6762235541061726,0.7546933867723352,-0.14422183378330483,-0.14886287898686912,0.5172433276479148,-0.30372171731650094,-0.024298029694407388,-0.17666061063347357,-0.7552812578794639,-0.13728464696893145,0.5266066627823608,-0.4145592784359154,-0.7460591601574789,-0.26797925005906514
BK1101,-0.4431749144315202,-0.4802727364304723,0.5814479914192181,-0.6234157693864538,1.1417909825246868,-0.475189346704174,0.03225879590983629,-0.3260174365274846,-0.29533529573462886,-0.09143509511919867,-0.25619958228570094,-0.4644884073393816,0.16048476914889068,0.3692195800974903,-0.03654412302229897,-0.21350864896439353,-0.751130609466278
BK1102,-0.4883916105934564,-0.5960899517211123,0.5172835706555908,-0.8949935643681152,-0.1733496666409986,0.06741978918235683,-0.05468316598631387,0.3133452451422845,-0.30372171731650094,-0.2481678884240495,0.13476451417169696,0.09028255803733287,0.44358055339149277,-0.3687725806832282,0.20271076476299354,-0.37393039437955805,-0.5848388784061144
