k,silhouette_score,calinski_harabasz_score,inertia,min_cluster_size,max_cluster_size,cluster_size_std,n_singletons,singleton_fraction
8,0.16870340675948242,40.3431039539532,1320.627861910374,1,53,19.441820259430443,2,0.25
9,0.1956022161644418,39.14380262484607,1235.2789340861264,1,55,19.476481543988722,2,0.2222222222222222
10,0.1656990244982458,38.6142245785964,1151.6295398119332,1,43,15.20690632574555,3,0.3
11,0.1533796652578638,37.597906723710835,1089.2550019940809,1,37,12.38100384453325,2,0.18181818181818182
12,0.1645486090052291,37.38432153601411,1020.8968153322297,1,37,11.889245840955038,2,0.16666666666666666
13,0.16867289287967843,36.0277600167452,982.0893260689846,1,42,11.562538981223272,3,0.23076923076923078
14,0.17060931090137585,35.0688622223393,942.0937567505603,1,38,11.087085703094168,2,0.14285714285714285
15,0.15041720743653883,33.482398075706264,919.7637204302802,1,35,9.273618495495704,3,0.2
