ntacode,nta_name,borough_name,is_residential,ntatype_label,cluster_id,cluster_label,is_outlier_cluster,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,share_evening,share_early_am,share_core_night,share_predawn,late_night_share,weekend_uplift,warm_season_ratio
QN1104,Oakland Gardens-Hollis Hills,Queens,True,Residential/Mixed,-1,Low Volume,True,7.176055028815765,52.41431753960156,0.49740932642487046,0.05699481865284974,0.0,0.06217616580310881,0.0,0.3626943005181347,0.015544041450777202,0.0051813471502590676,0.2538860103626943,0.11917098445595854,0.19689119170984457,0.43005181347150256,0.27461139896373055,1.7324561403508771,1.1956521739130435
QN1301,Glen Oaks-Floral Park-New Hyde Park,Queens,True,Residential/Mixed,-1,Low Volume,True,6.760960637106475,38.62770801239251,0.2822085889570552,0.05521472392638037,0.06748466257668712,0.1165644171779141,0.049079754601226995,0.4233128834355828,0.0,0.006134969325153374,0.3128834355828221,0.10429447852760736,0.13496932515337423,0.44785276073619634,0.17791411042944785,1.0745614035087718,1.4454545454545455
BK0302,Bedford-Stuyvesant (East),Brooklyn,True,Residential/Mixed,0,Cluster_0,False,48.32633499206615,1167.115707539039,0.6064328791601519,0.1380388653115926,0.07951753406298862,0.06097833370560643,0.005807460352914898,0.10609783337056064,0.002233638597274961,0.0008934554389099843,0.40808577172213534,0.1657359839178021,0.1371454098726826,0.28903283448737993,0.20772838954657136,1.7981950844854073,1.1300738007380073
BK0402,Bushwick (East),Brooklyn,True,Residential/Mixed,0,Cluster_0,False,50.01660577881103,1160.6220399482863,0.5099601593625498,0.17961487383798141,0.09362549800796813,0.09860557768924302,0.0049800796812749,0.11254980079681275,0.0006640106241699867,0.0,0.43326693227091634,0.19355909694555112,0.13612217795484727,0.23705179282868527,0.21812749003984064,2.3643410852713176,1.296718972895863
BK0501,Cypress Hills,Brooklyn,True,Residential/Mixed,0,Cluster_0,False,44.60992907801418,833.1535017671846,0.4917859035506094,0.21568627450980393,0.13248542660307366,0.11022787493375728,0.0,0.0492845786963434,0.0,0.0005299417064122947,0.48754636989931105,0.22098569157392686,0.10545839957604664,0.18600953895071543,0.17064122946475888,2.3236196319018405,1.6363636363636365
BK0502,East New York (North),Brooklyn,True,Residential/Mixed,0,Cluster_0,False,34.24719713131496,582.028703843883,0.5666003976143141,0.20543406229290923,0.07488402915838303,0.0536779324055666,0.0033134526176275677,0.09343936381709742,0.0026507620941020544,0.0,0.4294234592445328,0.1901921802518224,0.10934393638170974,0.2710404241219351,0.17892644135188868,2.330345710627401,1.5451807228915662
BK0503,East New York-New Lots,Brooklyn,True,Residential/Mixed,0,Cluster_0,False,36.35027418169484,446.93552314482474,0.6283048211508554,0.168481078278901,0.0736132711249352,0.058061171591498185,0.0015552099533437014,0.06842923794712286,0.0,0.0015552099533437014,0.4432348367029549,0.1964748574390876,0.1088646967340591,0.2514256091238984,0.1809227579056506,2.1729651162790695,1.596505162827641
BK0505,East New York-City Line,Brooklyn,True,Residential/Mixed,0,Cluster_0,False,27.208250112093914,455.76243039692355,0.6771535580524345,0.14232209737827714,0.03146067415730337,0.08689138576779026,0.0022471910112359553,0.045692883895131084,0.00149812734082397,0.012734082397003745,0.3550561797752809,0.1902621722846442,0.12284644194756554,0.3318352059925094,0.21797752808988763,1.6408188585607941,1.292604501607717
BK1201,Sunset Park (East)-Borough Park (West),Brooklyn,True,Residential/Mixed,0,Cluster_0,False,30.879947661105657,864.8374558193223,0.524364406779661,0.24470338983050846,0.06779661016949153,0.05402542372881356,0.001059322033898305,0.1048728813559322,0.00211864406779661,0.001059322033898305,0.3718220338983051,0.22245762711864406,0.1430084745762712,0.2627118644067797,0.23834745762711865,1.6549295774647887,1.567741935483871
BK1302,Coney Island-Sea Gate,Brooklyn,True,Residential/Mixed,0,Cluster_0,False,27.706536100101033,322.5381927173333,0.6276297335203366,0.182328190743338,0.023842917251051893,0.03716690042075736,0.0070126227208976155,0.12201963534361851,0.0,0.0,0.4060308555399719,0.16549789621318373,0.16479663394109398,0.26367461430575034,0.22159887798036465,1.5419501133786848,1.4702194357366773
BK1601,Ocean Hill,Brooklyn,True,Residential/Mixed,0,Cluster_0,False,37.42742518252722,804.7580557164475,0.6790945406125166,0.12383488681757657,0.04860186418109188,0.05525965379494008,0.0019973368841544607,0.08455392809587217,0.004660452729693742,0.0019973368841544607,0.3794940079893475,0.19374167776298268,0.14247669773635152,0.28428761651131823,0.21571238348868177,1.8310265282583622,1.1916279069767444
BK1701,East Flatbush-Erasmus,Brooklyn,True,Residential/Mixed,0,Cluster_0,False,46.027784526359966,1134.589182920543,0.5911708253358925,0.13531669865642995,0.06813819577735125,0.1017274472168906,0.0,0.10028790786948176,0.0,0.0033589251439539347,0.3857965451055662,0.16938579654510558,0.12859884836852206,0.31621880998080615,0.1890595009596929,1.5076923076923077,0.9172932330827067
BK1702,East Flatbush-Farragut,Brooklyn,True,Residential/Mixed,0,Cluster_0,False,27.394929385741026,431.05651317340147,0.6801242236024845,0.07556935817805382,0.07556935817805382,0.048654244306418216,0.002070393374741201,0.11490683229813664,0.0010351966873706005,0.002070393374741201,0.42132505175983437,0.19254658385093168,0.14492753623188406,0.2412008281573499,0.22981366459627328,1.843525179856115,1.3710407239819005
