k,silhouette_score,calinski_harabasz_score,inertia,cluster_size_min,cluster_size_max,cluster_size_std
5,0.1990349585702873,17.11713155743357,442.2524028614458,1,28,10.342146779078318
6,0.19367832429110413,17.224527179657052,382.1017310142497,1,20,6.938219432166216
7,0.2019445261642367,16.69885595345575,342.69613904074623,1,17,5.900536122303824
8,0.21791222159159948,16.329868471418663,309.4385391088525,1,16,5.452923527796809
9,0.21942860887373264,16.581190266843844,274.5695658760144,1,20,6.701759488888987
