boro_cd,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,share_evening,share_early_am,share_core_night,share_predawn,late_night_share,weekend_uplift,warm_season_ratio
101,-0.2186650690366351,-0.2594376437158929,-1.7729442792661965,-0.045532403576408365,0.6606733512925606,-0.39599991995753897,-0.3735951454371727,2.7065575166865368,0.31352231509273054,-0.06021220491478776,-1.1410041334032022,-0.8842210894044036,0.5693694619915624,1.2332650721528762,0.2515234973741324,-0.7027510337389694,-1.1729127233217442
102,0.5463384081153454,0.8029501133030712,-1.45659746206148,0.3679928864255862,1.0984323224466706,0.010243120721911497,0.08327994950958247,1.489469251152373,0.17260822705035145,-0.16987938663697205,-0.046631428247714164,-0.5736988445131606,-0.3585500366156156,0.3761600741320033,-0.9540158358896481,0.6592548019888774,-0.8402012301022207
103,0.5032840301959368,1.6467353245166656,-0.4416296387939414,0.7573414925197945,1.3247192213252148,-0.1937914964020293,0.4654162096717497,0.10155890753402634,-0.3884443708382766,-0.21400947775106327,0.8288736560175217,0.09404680976414324,-0.9784612307946223,-0.5016920042249239,-1.1035190915058983,0.6533283862240148,-0.3397662376821362
104,0.8548940430396812,1.2080017154579192,-1.5597088509568817,-0.5098141676970499,0.38392898443417783,-0.4788847073892733,-0.5626912072001607,0.628078581164255,2.2035914317680936,-0.18562942807525643,-1.2756433851834554,-0.8895769722971647,-0.002213737113591967,1.5692175671018178,-0.2803305890980944,-1.119121723416423,-1.3604742510814873
105,1.0499614753112838,0.08435148469585538,-1.6391887261644336,0.2745951259717848,1.1328410233870925,-0.1157084819879167,-0.08205619067471497,2.2882592678817635,-0.08479114321365284,-0.2464328389462294,-0.9764940250553761,-0.9648748501111317,0.5661028998580382,1.1015383917811747,0.19564715966074128,-1.0281526684882485,-0.798288074072616
106,-0.2153449092468981,0.7926746507938152,-1.5371213529054608,-0.6302286703810904,-0.5750003020969213,-0.22015042347015004,-0.46941417620509746,1.7760288749458057,1.5248201105924768,-0.20895636806780607,-1.340633083946041,-0.8513506839197418,1.6030858833118726,1.0525414037681822,1.4494954029025142,-0.9029663029485551,-1.3415059884482592
107,0.32264682304908043,2.029102117737758,-1.771876465125027,-0.804452597910338,-0.958083483447843,-0.7535603474681132,-0.37557659781963015,0.5407235874866734,3.400716292643052,-0.20444701560283524,-1.8902203505877464,-1.4411354959711768,0.010172648844000267,2.3641583976307725,-0.3704316985385007,-1.454676048668557,-1.0754744399482448
108,-0.36270431237731804,0.6014968135427147,-1.755024255050609,-0.7099123551992784,-0.1876512040243992,-0.5368938294125345,0.5511871268325159,2.735065979711957,1.0556582022165069,-0.21732809247773013,-1.8054529353911846,-1.1826447830081164,1.6364575318437735,1.6148031505695573,1.377752247025412,-1.50063471671381,-1.0413537626568492
109,0.7513579845853336,1.4596086430640287,0.17745559212897088,1.490180129542764,-0.13257137103344438,-0.48073774363740457,-0.44883634489995383,-0.6551545379285016,-0.39740929354095794,-0.22053293813290747,0.5312046016037382,0.591797291608166,-0.12538692238718432,-0.6874663207873665,0.4481363786663848,0.13369908943571254,0.4038594600358549
110,1.384524195614259,3.162843589864348,0.5316067504878319,1.305787916707585,-0.38946158536669934,-0.6485249066306905,-0.4353395360227845,-0.872633846607211,-0.41519188381933275,-0.10291110811749996,-0.27523684150159694,0.18203007276952846,1.0492146070076087,-0.16493597720505238,1.3001792280807578,-0.7504560028922673,-0.3535039716600124
111,0.16276881082043504,0.14825155818643157,0.30726659018189395,1.3577908220382295,-0.7380298579294153,-0.5314975792770237,0.013397275076192565,-0.5235826493503962,-0.3924875715870452,-0.08361936928615854,0.44014204082535374,0.015338621436749,-0.6226876964571555,-0.2177014520312095,-0.6192816427978224,-0.13123465035970408,-0.2754949794918979
112,0.9013674746595189,1.5031944909331485,-0.9646850476665225,2.781126981565163,-0.0051646500907515346,1.0985742018143392,-0.20967483234113013,-0.8933133246527741,-0.41029693628958996,-0.21220329773951374,1.126626869420758,1.0163266955425923,-1.0806788499694915,-1.0854984160738947,-0.9332647264595512,0.8663274508467173,0.6826174047290711
201,0.27783264961923687,0.07274022386111037,0.8986788872457878,0.30670108707219124,-0.47921882129852367,-0.14182967447343162,-0.5258194426357333,-0.8897309581884922,-0.4405972089825718,-0.2275256469778789,0.189098041430207,1.3090357360951925,0.6078910333049893,-0.8652561587052434,1.3808592284165502,-0.034067409903655345,0.3235868007671243
202,-0.20511138828695183,-0.6960387048977412,0.5235881738532923,1.1684226251104541,-0.6557235677940322,-0.13468737386174717,-0.34213463812332706,-0.9244922569670535,-0.4428082378327823,-0.19875524375533948,1.613721754139675,0.9173107398141458,-1.3833013738147482,-1.4217176684604287,-1.112179902177166,1.3863388234695473,0.1778800891587707
203,1.12698380696697,1.0670316114345992,0.671427205175235,1.7895821244013561,-1.1319119114340306,-0.6291810341161362,0.12990355868943484,-1.2199049643863968,-0.44432927314572307,-0.1468609304949622,0.3796216818121836,1.0372224817798394,0.08955145672366945,-0.7727351019413231,0.5503486998664318,0.27798882310272266,0.8616153688643265
204,0.5127978354410806,1.1979294323172789,-0.3170911557448786,2.731538616959175,-0.7835016104857706,0.5589826115248551,0.16134710977620484,-1.2571641147113035,-0.4457217562475953,-0.18135829553452,1.6603195069305428,1.7701061992648763,-1.4624704775321564,-1.7423876208271059,-1.0695445222945394,1.012709151057637,2.1932639672456418
205,0.7647113691270503,2.300772851081527,-0.4933299771600799,2.41331384962859,-0.7590884761330889,1.5602449006297037,-0.5729973978225276,-1.281053182294129,-0.4457301299825233,-0.1819934452141279,1.4953144270190273,2.08035329174367,-1.437218374205748,-1.699480795221298,-0.7079256244981563,0.7428439657604964,3.36046887249174
206,0.5063682760411072,0.5713212707224724,0.21113062536373176,0.9940658515452367,0.9597194612175367,-0.03646500752573,-0.4811983937623646,-1.029245787502989,-0.4420332727984755,-0.016534943293829422,1.1948324910687649,0.3925724315636387,-0.6453382811510939,-1.0846759255120093,-0.6693469871426198,0.6982386499896043,1.1764741339462188
207,0.46419995615528187,1.0071828417372148,0.8977873887276347,0.7851773327667094,-1.12521567609268,-0.34564348774242687,-0.2621971019334765,-0.8953802168722526,-0.44463687169533683,-0.22187229211971793,0.6451210681402845,1.071460353430495,-0.374669892956198,-0.8816373213091855,0.025488227996248357,0.18423534860799856,0.3608498454909626
