cluster_id,n_cds,rate_per_1k_pop_mean,rate_per_1k_pop_median,rate_per_km2_mean,rate_per_km2_median,share_noise___residential_mean,share_noise___residential_median,share_noise___street/sidewalk_mean,share_noise___street/sidewalk_median,share_noise___commercial_mean,share_noise___commercial_median,share_noise___vehicle_mean,share_noise___vehicle_median,share_noise___park_mean,share_noise___park_median,share_noise_mean,share_noise_median,share_noise___helicopter_mean,share_noise___helicopter_median,share_noise___house_of_worship_mean,share_noise___house_of_worship_median,share_evening_mean,share_evening_median,share_early_am_mean,share_early_am_median,share_core_night_mean,share_core_night_median,share_predawn_mean,share_predawn_median,late_night_share_mean,late_night_share_median,weekend_uplift_mean,weekend_uplift_median,warm_season_ratio_mean,warm_season_ratio_median
0,5,76.60212177928157,74.878067932957,2116.774809855908,1877.375624349091,0.5772535249091226,0.583002687827979,0.2522130677963027,0.2657247037374658,0.040493658764343174,0.04763525008506295,0.06111121483425545,0.059193661151246794,0.004577480367845416,0.003494378608325737,0.06172456600920667,0.06328683225586934,0.002064185373314744,0.0006805035726437564,0.0005623019456093089,0.00023304591004427873,0.3689510216778046,0.3765519006783566,0.19737851865268063,0.20376295917061307,0.17008048046515378,0.16498144118776398,0.263589979204361,0.25470369896326633,0.26008157620744865,0.25393574811212083,1.653460164388766,1.7093388267608398,1.2836026748318214,1.2999683243585682
1,20,39.95314508262857,38.27529875201218,736.6709969808517,610.2411901720365,0.54547958281424,0.546652364838446,0.17442449147512823,0.17336533909812601,0.08564627577918188,0.07668490629476094,0.08101471873702812,0.08144089673701944,0.00787274146669754,0.005037448508719797,0.10110690606105352,0.09494933118053597,0.0029596081108583285,0.0011905078547440105,0.0014956755558124498,0.0012519437602808783,0.4242136499018,0.4293341549591962,0.18843960804065776,0.18728968917142264,0.13434958468564973,0.13401875619931863,0.2529971573718926,0.2632833521934576,0.20900648963479007,0.207978224160832,1.9814341897882826,2.0229788078969264,1.262493599793158,1.2121256518868555
2,4,65.11547792810437,63.43785745376165,1723.2971751039308,1868.0486729939835,0.27395783297561976,0.27929459470082874,0.09509456252340456,0.0952391772608879,0.04728428768310249,0.03897658145675139,0.058312016013161036,0.060221116480614345,0.002775996871560658,0.0027625320641309166,0.14621872425841534,0.16988043531086497,0.37592746861369075,0.373890340816183,0.0004291110610454815,0.00046244599164488613,0.24405361614462143,0.2478861743432279,0.12876196866494577,0.12988627647812745,0.1795645584276922,0.17765541003975427,0.44761985676274063,0.4319022656172974,0.23785626135574156,0.23277360336634734,1.3629396074919595,1.308450542926629,0.9140298063142686,0.8312979143077622
3,1,55.32462824175068,55.32462824175068,459.0283810470469,459.0283810470469,0.2580499378601288,0.2580499378601288,0.020901593040334426,0.020901593040334426,0.007343802960117501,0.007343802960117501,0.48197943735171167,0.48197943735171167,0.0014687605920235003,0.0014687605920235003,0.14710202237035364,0.14710202237035364,0.01276691899220427,0.01276691899220427,0.0703875268331262,0.0703875268331262,0.1069935600497119,0.1069935600497119,0.0821376115693142,0.0821376115693142,0.1759123262908146,0.1759123262908146,0.6349565020901593,0.6349565020901593,0.21669867811546717,0.21669867811546717,0.9978659500474233,0.9978659500474233,0.7377533783783784,0.7377533783783784
4,17,31.342484965055693,26.032970392493475,478.661370849419,364.70252002448944,0.505689447505886,0.542652724270776,0.1306166303032352,0.1296426068675543,0.06805417524507523,0.060794780545670224,0.08842493602976954,0.08660303994344291,0.006911861691870313,0.005598320503848845,0.17568450521499035,0.15702651910628523,0.023620345268540663,0.0027100271002710027,0.0009980987406327784,0.0006888238333046323,0.31240527413737346,0.3173830765071641,0.1593886791132917,0.1587133262636974,0.1704634782379373,0.16683866529067767,0.3577425685113975,0.3691460055096419,0.24348503921486428,0.24460940261576528,1.5363982006575672,1.5015144958892255,0.9962700134741017,0.9602220166512488
5,1,259.05847724436,259.05847724436,2898.9372886977467,2898.9372886977467,0.9402655927896831,0.9402655927896831,0.028716621122776738,0.028716621122776738,0.012320820748837433,0.012320820748837433,0.008821132364926411,0.008821132364926411,0.001054700608849897,0.001054700608849897,0.008509516275948032,0.008509516275948032,9.588187353180882e-05,9.588187353180882e-05,0.00021573421544656982,0.00021573421544656982,0.26518529172060024,0.26518529172060024,0.2160458315355482,0.2160458315355482,0.1980440097799511,0.1980440097799511,0.32072486696390046,0.32072486696390046,0.3004458507119229,0.3004458507119229,1.2045785529073278,1.2045785529073278,2.736535729018655,2.736535729018655
6,3,74.00718508972412,75.34201693520791,2378.3469363401723,2241.388598447919,0.3814839901826954,0.3971781986857364,0.37173812455070593,0.3788425880745584,0.04611549611039312,0.03604561267877851,0.15358975269946357,0.15516816557841567,0.005442630024128044,0.005420721941604041,0.039698432391939605,0.029179271982043526,0.0014404557129625618,9.758953840148337e-05,0.0004911183277117184,0.0005798221878623889,0.46952636854346225,0.4755508310784693,0.22254074075843847,0.22728603493705474,0.11977871155831661,0.11625434866640896,0.18815417913978272,0.17095090838809432,0.20706759100537475,0.2061106320068991,1.9506467982326134,1.9481587023235423,1.976326713104999,2.0213982358706306
7,7,48.26891709899614,41.29101427885185,1003.4125649812202,1057.2500879136292,0.27096013414460557,0.21436875145315043,0.1226666359045155,0.11130959026459752,0.06359469648209949,0.05405405405405406,0.07354268255184412,0.064343163538874,0.005405309162142832,0.004021447721179625,0.3203404941420557,0.3107401787219693,0.14248250828854245,0.08646112600536193,0.0010075393241943133,0.0004633204633204633,0.21473396923642116,0.20803088803088804,0.1366377320289026,0.13976833976833977,0.2172771020673008,0.21435118502029593,0.4313511966673755,0.42532818532818534,0.28510108873654777,0.2829202495363345,1.3140357627778747,1.330602066262914,0.8147597842479974,0.7645348837209301
8,1,27.95882121302227,27.95882121302227,359.64729149585236,359.64729149585236,0.3492382868640414,0.3492382868640414,0.19143432020695603,0.19143432020695603,0.11670020120724346,0.11670020120724346,0.08738143144581777,0.08738143144581777,0.05978729519977005,0.05978729519977005,0.18741017533774074,0.18741017533774074,0.0077608508192009195,0.0077608508192009195,0.0002874389192296637,0.0002874389192296637,0.3291175625179649,0.3291175625179649,0.15521701638401839,0.15521701638401839,0.1575165277378557,0.1575165277378557,0.358148893360161,0.358148893360161,0.23023857430296063,0.23023857430296063,1.5604575163398693,1.5604575163398693,0.9489216799091941,0.9489216799091941
