boro_cd,cd_label,cd_short,borough_name,cluster_id,cluster_label,is_outlier_cluster,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,share_evening,share_early_am,share_core_night,share_predawn,late_night_share,weekend_uplift,warm_season_ratio
101,Manhattan Community District 1,MN 1,Manhattan,7,Nightlife & Entertainment,False,41.175658893335175,770.3304324860961,0.19302949061662197,0.15851206434316353,0.09483914209115281,0.064343163538874,0.004021447721179625,0.39711796246648795,0.08646112600536193,0.001675603217158177,0.2416219839142091,0.14209115281501342,0.18029490616621985,0.4359919571045576,0.2443029490616622,1.4366754617414248,0.6961189099917424
102,Manhattan Community District 2,MN 2,Manhattan,4,Low-Intensity Baseline,False,67.75488297202064,1656.9783918981084,0.24349922507318753,0.19132081970036163,0.1129671086619597,0.08903048045462374,0.007921474083003272,0.28413983123816083,0.07043223695539866,0.0006888238333046323,0.33872912002755295,0.1520578612019976,0.15068021353538832,0.35853280523506115,0.2054417082831066,1.8806578153289077,0.8271089630931459
103,Manhattan Community District 3,MN 3,Manhattan,1,Weekend-Heavy Residential,False,66.25900485843525,2361.1849593794886,0.40542643197510453,0.2222114169016824,0.12233783915199845,0.07663133326850141,0.011183506758727998,0.1553048721190314,0.006612856170378294,0.000291743654575513,0.41641544296411553,0.1734902265875717,0.13089565301954684,0.2791986774287659,0.20062238646309444,1.8787259410662578,1.024132533263762
104,Manhattan Community District 4,MN 4,Manhattan,2,Helicopter Corridor,False,78.47531706981977,1995.0265048723165,0.22704891125943757,0.121676332202648,0.08337892548418864,0.05930626983258562,0.002407265565160302,0.2041798883904147,0.30145530145530147,0.000547105810263705,0.22967501914870336,0.1419192471824051,0.1620527410001094,0.46635299266878216,0.2271583324214903,1.3009482615205457,0.6222750693618708
105,Manhattan Community District 5,MN 5,Manhattan,7,Nightlife & Entertainment,False,85.25272547076314,1057.2500879136292,0.21436875145315043,0.18391071843757265,0.11439200186003255,0.08137642408742153,0.006510113926993723,0.3582887700534759,0.04115322018135317,0.0,0.2562194838409672,0.13950244129272263,0.1801906533364334,0.4240874215298768,0.24250174378051617,1.330602066262914,0.8436103663985702
106,Manhattan Community District 6,MN 6,Manhattan,7,Nightlife & Entertainment,False,41.29101427885185,1648.402692671857,0.2306525037936267,0.11212274489967965,0.04366885853987523,0.07502950598549991,0.0032035069971337042,0.3107401787219693,0.2242454897993593,0.0003372112628561794,0.2239082785365031,0.14314618108244814,0.21328612375653347,0.4196594166245153,0.2829202495363345,1.3714099216710183,0.6297429620563036
107,Manhattan Community District 7,MN 7,Manhattan,2,Helicopter Corridor,False,59.982959129102724,2680.3007762895895,0.1931998488855308,0.0982999622213827,0.02780506233471855,0.04261428031734039,0.0040045334340763124,0.1960710238005289,0.4376275028333963,0.00037778617302606723,0.17514166981488477,0.1242160936909709,0.1624480544012089,0.5381941820929353,0.2242538723082735,1.191565324110231,0.7344808126410836
108,Manhattan Community District 8,MN 8,Manhattan,7,Nightlife & Entertainment,False,36.171170104435554,1488.8494239490283,0.19588843786827287,0.10580070708393348,0.05970930993845751,0.055781065863558986,0.011915673693858845,0.3997643053555061,0.17087861725808565,0.00026188293832656804,0.1826633494827812,0.13251276679324342,0.21435118502029593,0.47047269870367947,0.28060756841691764,1.1765838628923553,0.7479142810404057
109,Manhattan Community District 9,MN 9,Manhattan,0,Street-Dominated Activity,False,74.878067932957,2205.0127057316517,0.504194826380797,0.2803542297832673,0.06199021207177814,0.059193661151246794,0.0033791656956420413,0.08506175716616174,0.00559310184106269,0.00023304591004427873,0.39000233045910043,0.1894663248659986,0.1581216499650431,0.26240969470985787,0.25064087625262177,1.7093388267608398,1.3169014084507042
110,Manhattan Community District 10,MN 10,Manhattan,0,Street-Dominated Activity,False,96.87674781431221,3626.499145124772,0.560695837131571,0.2657247037374658,0.05135217259191735,0.04899726526891522,0.003494378608325737,0.06487389851109085,0.0035703433606806443,0.0012914007900334246,0.3184442418717715,0.1763141902157399,0.19560923731388635,0.30963233059860223,0.2781069583713157,1.4211247468128203,1.018723923883179
111,Manhattan Community District 11,MN 11,Manhattan,1,Weekend-Heavy Residential,False,54.42816932853851,1110.579834413791,0.5249047758570173,0.2698505713448579,0.03691766774099033,0.05610899501904483,0.00732493407559332,0.09727512452387929,0.006152944623498389,0.001464986815118664,0.3819220627014357,0.17096396132434807,0.14225021974802227,0.30486375622619394,0.2162320539115148,1.6229765643875333,1.0494364247577614
112,Manhattan Community District 12,MN 12,Manhattan,6,Evening Street Activity,False,80.0899865316211,2241.388598447919,0.3219785635086855,0.3827768880128126,0.06726623136626833,0.15516816557841567,0.005420721941604041,0.0629542934581742,0.004127140569175804,0.00030799556486386595,0.44283602316126647,0.2030922754712332,0.12763336207958606,0.22643833928791426,0.2061106320068991,1.9481587023235423,1.4266497000545357
201,Bronx Community District 1,BX 1,Bronx,0,Street-Dominated Activity,False,58.425938810806514,1047.5595576366095,0.6192582511058183,0.18645797890438925,0.04763525008506295,0.07978904389248044,0.0027220142905750254,0.06328683225586934,0.0006805035726437564,0.0001701258931609391,0.35964613814222524,0.21248724055801294,0.181524328002722,0.2463422932970398,0.28070772371554953,1.6546508340401471,1.2852976913730254
202,Bronx Community District 2,BX 2,Bronx,1,Weekend-Heavy Residential,False,41.64656697218202,405.9517605591616,0.5594165594165594,0.2548262548262548,0.04032604032604033,0.08022308022308022,0.00429000429000429,0.06006006006006006,0.000429000429000429,0.000429000429000429,0.48605748605748605,0.19991419991419992,0.11797511797511798,0.19605319605319604,0.20034320034320036,2.117670364500792,1.2279322853688028
203,Bronx Community District 3,BX 3,Bronx,0,Street-Dominated Activity,False,87.92878364995047,1877.375624349091,0.583002687827979,0.30410853705362856,0.020606681172404967,0.05017278894150774,0.008319467554076539,0.032637911173684885,0.0002559836170485089,0.0008959426596697811,0.3765519006783566,0.20376295917061307,0.16498144118776398,0.25470369896326633,0.25393574811212083,1.756373937677054,1.4971220260936302
204,Bronx Community District 4,BX 4,Bronx,6,Evening Street Activity,False,66.58955180234334,1986.6203751571852,0.42529520835366447,0.3788425880745584,0.035034644286132524,0.12237728115546014,0.008587879379330535,0.029179271982043526,9.758953840148337e-05,0.0005855372304089002,0.4901922513906509,0.22728603493705474,0.11544842392895481,0.16707328974333951,0.2017175758758661,1.9958757458757461,2.0213982358706306
205,Bronx Community District 5,BX 5,Bronx,6,Evening Street Activity,False,75.34201693520791,2907.031835415413,0.3971781986857364,0.3535948975647468,0.03604561267877851,0.18322381136451488,0.0023192887514495554,0.026961731735601083,9.663703131039814e-05,0.0005798221878623889,0.4755508310784693,0.23724391186702745,0.11625434866640896,0.17095090838809432,0.2133745651333591,1.9079059464985517,2.4809322033898304
206,Bronx Community District 6,BX 6,Bronx,1,Weekend-Heavy Residential,False,66.36616366735691,1463.665508482239,0.5095673159800035,0.24099293225305982,0.10722289260472333,0.08619203585588692,0.003102913290811929,0.05033614893983796,0.0005171522151353214,0.002068608860541286,0.44888812273745904,0.18307188415790382,0.14152732287536632,0.22651267022927082,0.21461816928115843,1.8933656467737048,1.621083377588954
207,Bronx Community District 7,BX 7,Bronx,0,Street-Dominated Activity,False,64.90107068838164,1827.4270164374147,0.6191160220994475,0.22441988950276243,0.020883977900552485,0.06740331491712707,0.004972375690607734,0.06276243093922652,0.00022099447513812155,0.00022099447513812155,0.4001104972375691,0.2048618784530387,0.1501657458563536,0.24486187845303867,0.23701657458563535,1.7258124766529699,1.2999683243585682
208,Bronx Community District 8,BX 8,Bronx,1,Weekend-Heavy Residential,False,46.46974401305731,579.1531699599199,0.5647961243439644,0.16330238191360516,0.018974566007266856,0.08760597496972143,0.010092854259184497,0.14170367379895035,0.011707710940654016,0.0018167137666532096,0.39685102947113443,0.1725878078320549,0.15280581348405328,0.27775534921275735,0.22607993540573273,1.7545517004465818,1.180590717299578
209,Bronx Community District 9,BX 9,Bronx,1,Weekend-Heavy Residential,False,40.77744123148915,663.168651274136,0.577900866354211,0.23675614259338162,0.02797898025848601,0.08265871325095867,0.004260758414997869,0.06945036216446528,0.0007101264024996449,0.000284050560999858,0.43615963641528194,0.20977133929839512,0.1175969322539412,0.23647209203238176,0.19713108933390144,2.085178431883303,1.3525654234494129
210,Bronx Community District 10,BX 10,Bronx,1,Weekend-Heavy Residential,False,23.953718905857937,186.04007676048198,0.48496605237633367,0.18978338182993856,0.10184287099903007,0.11024894924021986,0.006142903330100227,0.10572259941804074,0.00032331070158422246,0.0009699321047526673,0.4497251859036534,0.19624959586162302,0.13223407694794698,0.2217911412867766,0.19689621726479145,2.0485294117647057,1.2311901504787963
211,Bronx Community District 11,BX 11,Bronx,4,Low-Intensity Baseline,False,31.786362899994028,400.0332306690851,0.6936695278969958,0.0992489270386266,0.0407725321888412,0.060085836909871244,0.000536480686695279,0.10407725321888411,0.001072961373390558,0.000536480686695279,0.3511266094420601,0.16148068669527896,0.14914163090128754,0.3382510729613734,0.2255901287553648,1.6532976827094474,0.9228340933005963
212,Bronx Community District 12,BX 12,Bronx,5,Residential-Dominated Outlier,True,259.05847724436,2898.9372886977467,0.9402655927896831,0.028716621122776738,0.012320820748837433,0.008821132364926411,0.001054700608849897,0.008509516275948032,9.588187353180882e-05,0.00021573421544656982,0.26518529172060024,0.2160458315355482,0.1980440097799511,0.32072486696390046,0.3004458507119229,1.2045785529073278,2.736535729018655
301,Brooklyn Community District 1,BK 1,Brooklyn,4,Low-Intensity Baseline,False,48.83518991738408,804.4431825023242,0.36161349319244057,0.1630766104450315,0.1374720585246901,0.09337533021743548,0.009754115017272911,0.229831335094493,0.004369030684820158,0.0005080268238162975,0.33631375736638897,0.16734403576508838,0.17069701280227595,0.3256451940662467,0.24517374517374518,1.967138707334786,1.0596727622714148
302,Brooklyn Community District 2,BK 2,Brooklyn,7,Nightlife & Entertainment,False,70.91395636064223,1215.5202752978926,0.4527185441554092,0.11130959026459752,0.05068661382159205,0.06173942168136653,0.00267946857206654,0.24729262029697444,0.07178742882661605,0.0017863123813776935,0.18778608909233002,0.15072010717874287,0.2549960924416657,0.40649771128726137,0.3419671765099922,1.1841888779203686,0.9440774988991633
303,Brooklyn Community District 3,BK 3,Brooklyn,1,Weekend-Heavy Residential,False,45.8997703367116,1134.3780348610555,0.5431096250298543,0.15261523764031526,0.09410078815380941,0.06615715309290661,0.0059708621925005975,0.13458323381896345,0.0021495103893002148,0.0013135896823501315,0.390255552901839,0.14867446859326486,0.1470026271793647,0.31406735132553143,0.209816097444471,1.7934782608695652,1.1251231527093597
304,Brooklyn Community District 4,BK 4,Brooklyn,1,Weekend-Heavy Residential,False,63.621505077201284,1390.1963342508398,0.4569554523093741,0.18352008745558895,0.14197868270019132,0.09292156326865264,0.004099480732440558,0.11861164252528013,0.0015031429352282044,0.00040994807324405577,0.44725334790926485,0.2014211533205794,0.132276578300082,0.2190489204700738,0.22041541404755396,2.383876134543513,1.1896946564885496
305,Brooklyn Community District 5,BK 5,Brooklyn,1,Weekend-Heavy Residential,False,34.19823382999761,486.0550054115483,0.5863837060247828,0.17988890471442814,0.08075772681954138,0.07876370887337986,0.002848597065945022,0.06736932060959977,0.0009970089730807576,0.0029910269192422734,0.42216208517305226,0.19940179461615154,0.11508332146417889,0.26335279874661727,0.19071357356501922,2.0673952641165756,1.4824430729942542
306,Brooklyn Community District 6,BK 6,Brooklyn,7,Nightlife & Entertainment,False,53.662741067950705,815.1695546286605,0.16,0.10610038610038611,0.05405405405405406,0.053899613899613896,0.005714285714285714,0.22007722007722008,0.3996911196911197,0.0004633204633204633,0.20803088803088804,0.13976833976833977,0.22687258687258688,0.42532818532818534,0.29683397683397683,1.235864297253635,0.7645348837209301
307,Brooklyn Community District 7,BK 7,Brooklyn,8,Park-Influenced Outlier,True,27.95882121302227,359.64729149585236,0.3492382868640414,0.19143432020695603,0.11670020120724346,0.08738143144581777,0.05978729519977005,0.18741017533774074,0.0077608508192009195,0.0002874389192296637,0.3291175625179649,0.15521701638401839,0.1575165277378557,0.358148893360161,0.23023857430296063,1.5604575163398693,0.9489216799091941
308,Brooklyn Community District 8,BK 8,Brooklyn,2,Helicopter Corridor,False,66.89275577842058,1741.0708411156506,0.34404229361529076,0.09217839230039311,0.04554697031313542,0.06113596312864308,0.0031177985631015317,0.14368984682120103,0.31015317879896975,0.00013555645926528398,0.26609732953775245,0.13555645926528398,0.20089467263115088,0.39745153856581267,0.2616239663819981,1.3159528243327125,0.9281150159744409
309,Brooklyn Community District 9,BK 9,Brooklyn,4,Low-Intensity Baseline,False,47.900538118386045,1137.6010679548924,0.49196074337022344,0.19335978283566507,0.0549175193150971,0.08498642722906662,0.003758613489246189,0.15702651910628523,0.012111087909793277,0.0018793067446230946,0.31363541449154314,0.15201503445395698,0.15807057840885363,0.37627897264564625,0.2242639381916893,1.3410330445941612,0.8250798722044729
310,Brooklyn Community District 10,BK 10,Brooklyn,4,Low-Intensity Baseline,False,26.032970392493475,321.0601428969578,0.4513700692562481,0.10960554049984944,0.10870219813309244,0.11412225233363445,0.010538994278831678,0.20264980427582055,0.0027100271002710027,0.00030111412225233364,0.30864197530864196,0.1496537187594098,0.1665161096055405,0.3751881963264077,0.2454080096356519,1.5718489455615496,0.9915865384615385
311,Brooklyn Community District 11,BK 11,Brooklyn,4,Low-Intensity Baseline,False,19.624695602349234,385.7905421493203,0.570154095701541,0.08623952419572857,0.11408488780751555,0.09299810759664774,0.004325493376588267,0.1281427412814274,0.0010813733441470668,0.0029737766964044337,0.3173830765071641,0.1730197350635307,0.181941065152744,0.32765612327656124,0.25925925925925924,1.5015144958892255,0.8120920645826177
312,Brooklyn Community District 12,BK 12,Brooklyn,4,Low-Intensity Baseline,False,17.557196263628697,364.70252002448944,0.42526690391459077,0.16548042704626334,0.060794780545670224,0.19661921708185054,0.00741399762752076,0.13997627520759193,0.002372479240806643,0.0020759193357058124,0.2491103202846975,0.1826809015421115,0.18890865954922895,0.379300118623962,0.28380782918149466,1.2684398748323649,0.9531066822977726
313,Brooklyn Community District 13,BK 13,Brooklyn,4,Low-Intensity Baseline,False,25.91138632263212,348.5439999446727,0.6648005598320503,0.15115465360391883,0.016794961511546535,0.043037088873338,0.005598320503848845,0.11756473058082575,0.0003498950314905528,0.0006997900629811056,0.3435969209237229,0.16235129461161651,0.15465360391882435,0.33939818054583626,0.22078376487053883,1.4129244249726178,1.2257269590931492
314,Brooklyn Community District 14,BK 14,Brooklyn,4,Low-Intensity Baseline,False,35.29862221114751,760.7993640089807,0.6113980716253443,0.13360881542699724,0.04321625344352617,0.09142561983471074,0.0032713498622589533,0.11053719008264463,0.004476584022038568,0.002066115702479339,0.29424931129476584,0.15478650137741046,0.18181818181818182,0.3691460055096419,0.25361570247933884,1.2587367331089827,0.9225574065736155
315,Brooklyn Community District 15,BK 15,Brooklyn,4,Low-Intensity Baseline,False,22.148880155671716,284.7862317205581,0.6072351421188631,0.09072638530002872,0.06603502727533735,0.06316393913293138,0.004880849842090152,0.165374677002584,0.0017226528854435831,0.0008613264427217916,0.2529428653459661,0.17800746482917026,0.19638242894056848,0.37266724088429515,0.28050531151306346,1.3090551181102363,0.8843866171003716
316,Brooklyn Community District 16,BK 16,Brooklyn,1,Weekend-Heavy Residential,False,38.527361081766315,758.3147071642126,0.7046887853029887,0.1288730463394571,0.02275843158760625,0.041678091582122295,0.02056484782012613,0.0781464217164793,0.0021935837674801205,0.0010967918837400603,0.3857965451055662,0.19056758979983549,0.14642171647929805,0.27721414861530025,0.22292295037016727,1.6462028194633924,1.2439875872769588
317,Brooklyn Community District 17,BK 17,Brooklyn,1,Weekend-Heavy Residential,False,34.24242806504106,622.8870337241596,0.6743414993553141,0.11125437465463253,0.06538957450727574,0.0652053785227482,0.0007367839381101492,0.0804936452385338,0.0005525879535826119,0.0020261558298029104,0.39104807515196166,0.18401178854300976,0.145699023761282,0.27924111254374656,0.21956161355682446,1.690336523618401,1.0881024096385543
318,Brooklyn Community District 18,BK 18,Brooklyn,1,Weekend-Heavy Residential,False,16.990460969884634,155.38450659814495,0.569077013521458,0.09964726631393298,0.14315108759553205,0.059082892416225746,0.0029394473838918285,0.11816578483245149,0.003527336860670194,0.004409171075837742,0.4329805996472663,0.17166372721928277,0.130217519106408,0.26513815402704294,0.1966490299823633,1.9505494505494505,1.240132945575405
401,Queens Community District 1,QN 1,Queens,1,Weekend-Heavy Residential,False,54.1669512167361,597.5953466199134,0.3588989283462912,0.1668417734818239,0.18165581004412693,0.09970582055053583,0.005463332632906073,0.17051901660012608,0.015654549275057786,0.0012607690691321706,0.37917629754150034,0.22588779155284724,0.14278209707921832,0.25215381382643415,0.22326118932548855,1.8724733553840498,0.9891031014249789
