boro_cd,count_night,population,area_km2,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,count_evening,share_evening,count_early_am,share_early_am,count_core_night,share_core_night,count_predawn,share_predawn,count_late_night,late_night_share,count_weekend,count_weekday,weekend_rate,weekday_rate,weekend_uplift,count_warm,count_cool,warm_rate,cool_rate,warm_season_ratio,warm_share,borough_name,district_number,cd_label,cd_short,year_start,year_end
101,2984,72470,3.873662358592926,41.175658893335175,770.3304324860961,0.19302949061662197,0.15851206434316353,0.09483914209115281,0.064343163538874,0.004021447721179625,0.39711796246648795,0.08646112600536193,0.001675603217158177,721,0.2416219839142091,424,0.14209115281501342,538,0.18029490616621985,1301,0.4359919571045576,729,0.2443029490616622,1089,1895,544.5,379.0,1.4366754617414248,562,2422,187.33333333333334,269.1111111111111,0.6961189099917424,0.18833780160857908,Manhattan,1,Manhattan Community District 1,MN 1,2021,2023
102,5807,85706,3.5045719536197106,67.75488297202064,1656.9783918981084,0.24349922507318753,0.19132081970036163,0.1129671086619597,0.08903048045462374,0.007921474083003272,0.28413983123816083,0.07043223695539866,0.0006888238333046323,1967,0.33872912002755295,883,0.1520578612019976,875,0.15068021353538832,2082,0.35853280523506115,1193,0.2054417082831066,2493,3314,1246.5,662.8,1.8806578153289077,1255,4552,418.3333333333333,505.77777777777777,0.8271089630931459,0.2161184776993284,Manhattan,2,Manhattan Community District 2,MN 2,2021,2023
103,10283,155194,4.355016729694203,66.25900485843525,2361.1849593794886,0.40542643197510453,0.2222114169016824,0.12233783915199845,0.07663133326850141,0.011183506758727998,0.1553048721190314,0.006612856170378294,0.000291743654575513,4282,0.41641544296411553,1784,0.1734902265875717,1346,0.13089565301954684,2871,0.2791986774287659,2063,0.20062238646309444,4412,5871,2206.0,1174.2,1.8787259410662578,2617,7666,872.3333333333334,851.7777777777778,1.024132533263762,0.25449771467470583,Manhattan,3,Manhattan Community District 3,MN 3,2021,2023
104,9139,116457,4.580891520829646,78.47531706981977,1995.0265048723165,0.22704891125943757,0.121676332202648,0.08337892548418864,0.05930626983258562,0.002407265565160302,0.2041798883904147,0.30145530145530147,0.000547105810263705,2099,0.22967501914870336,1297,0.1419192471824051,1481,0.1620527410001094,4262,0.46635299266878216,2076,0.2271583324214903,3128,6011,1564.0,1202.2,1.3009482615205457,1570,7569,523.3333333333334,841.0,0.6222750693618708,0.17179122442280337,Manhattan,4,Manhattan Community District 4,MN 4,2021,2023
105,4301,50450,4.068100867683603,85.25272547076314,1057.2500879136292,0.21436875145315043,0.18391071843757265,0.11439200186003255,0.08137642408742153,0.006510113926993723,0.3582887700534759,0.04115322018135317,0.0,1102,0.2562194838409672,600,0.13950244129272263,775,0.1801906533364334,1824,0.4240874215298768,1043,0.24250174378051617,1494,2807,747.0,561.4,1.330602066262914,944,3357,314.6666666666667,373.0,0.8436103663985702,0.21948384096721693,Manhattan,5,Manhattan Community District 5,MN 5,2021,2023
106,5931,143639,3.598028580253398,41.29101427885185,1648.402692671857,0.2306525037936267,0.11212274489967965,0.04366885853987523,0.07502950598549991,0.0032035069971337042,0.3107401787219693,0.2242454897993593,0.0003372112628561794,1328,0.2239082785365031,849,0.14314618108244814,1265,0.21328612375653347,2489,0.4196594166245153,1678,0.2829202495363345,2101,3830,1050.5,766.0,1.3714099216710183,1029,4902,343.0,544.6666666666666,0.6297429620563036,0.1734951947395043,Manhattan,6,Manhattan Community District 6,MN 6,2021,2023
107,13235,220646,4.93787865790255,59.982959129102724,2680.3007762895895,0.1931998488855308,0.0982999622213827,0.02780506233471855,0.04261428031734039,0.0040045334340763124,0.1960710238005289,0.4376275028333963,0.00037778617302606723,2318,0.17514166981488477,1644,0.1242160936909709,2150,0.1624480544012089,7123,0.5381941820929353,2968,0.2242538723082735,4272,8963,2136.0,1792.6,1.191565324110231,2603,10632,867.6666666666666,1181.3333333333333,0.7344808126410836,0.19667548167737062,Manhattan,7,Manhattan Community District 7,MN 7,2021,2023
108,7637,211135,5.129464321343928,36.171170104435554,1488.8494239490283,0.19588843786827287,0.10580070708393348,0.05970930993845751,0.055781065863558986,0.011915673693858845,0.3997643053555061,0.17087861725808565,0.00026188293832656804,1395,0.1826633494827812,1012,0.13251276679324342,1637,0.21435118502029593,3593,0.47047269870367947,2143,0.28060756841691764,2444,5193,1222.0,1038.6,1.1765838628923553,1524,6113,508.0,679.2222222222222,0.7479142810404057,0.19955479900484482,Manhattan,8,Manhattan Community District 8,MN 8,2021,2023
109,8582,114613,3.892041065202108,74.878067932957,2205.0127057316517,0.504194826380797,0.2803542297832673,0.06199021207177814,0.059193661151246794,0.0033791656956420413,0.08506175716616174,0.00559310184106269,0.00023304591004427873,3347,0.39000233045910043,1626,0.1894663248659986,1357,0.1581216499650431,2252,0.26240969470985787,2151,0.25064087625262177,3485,5097,1742.5,1019.4,1.7093388267608398,2618,5964,872.6666666666666,662.6666666666666,1.3169014084507042,0.30505709624796085,Manhattan,9,Manhattan Community District 9,MN 9,2021,2023
110,13164,135884,3.62994708483437,96.87674781431221,3626.499145124772,0.560695837131571,0.2657247037374658,0.05135217259191735,0.04899726526891522,0.003494378608325737,0.06487389851109085,0.0035703433606806443,0.0012914007900334246,4192,0.3184442418717715,2321,0.1763141902157399,2575,0.19560923731388635,4076,0.30963233059860223,3661,0.2781069583713157,4771,8393,2385.5,1678.6,1.4211247468128203,3337,9827,1112.3333333333333,1091.888888888889,1.018723923883179,0.25349437860832574,Manhattan,10,Manhattan Community District 10,MN 10,2021,2023
