ntacode,nta_name,borough_name,ntatype,ntatype_label,is_residential,count_night,population,area_km2,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,count_evening,share_evening,count_early_am,share_early_am,count_core_night,share_core_night,count_predawn,share_predawn,count_late_night,late_night_share,count_weekend,count_weekday,weekend_uplift,count_warm,count_cool,warm_season_ratio,year_start,year_end
BK0101,Greenpoint,Brooklyn,0,Residential/Mixed,True,2352,38260,3.281508868077713,61.47412441191845,716.7434538666314,0.25892857142857145,0.14243197278911565,0.15476190476190477,0.09098639455782313,0.010629251700680272,0.334608843537415,0.007653061224489796,0.0,697.0,0.296343537414966,367.0,0.1560374149659864,464.0,0.19727891156462585,824.0,0.35034013605442177,645,0.274234693877551,1033,1319,1.9579226686884001,566,1786,0.9507278835386337,2021,2023
BK0102,Williamsburg,Brooklyn,0,Residential/Mixed,True,3518,64311,2.680522172861986,54.70292795944706,1312.4308523230163,0.2893689596361569,0.1856168277430358,0.15093803297328026,0.1191017623649801,0.017907902217168845,0.23138146674246732,0.0045480386583285955,0.0011370096645821489,1357.0,0.38573052870949404,569.0,0.1617396247868107,519.0,0.14752700397953383,1073.0,0.30500284252416143,727,0.20665150653780556,1585,1933,2.0499224004138643,946,2572,1.1034214618973561,2021,2023
BK0103,South Williamsburg,Brooklyn,0,Residential/Mixed,True,749,46364,1.4129635993936147,16.154775256664653,530.0915043539973,0.8197596795727636,0.06408544726301736,0.017356475300400534,0.0267022696929239,0.0026702269692923898,0.06542056074766354,0.0026702269692923898,0.0013351134846461949,140.0,0.18691588785046728,135.0,0.1802403204272363,212.0,0.28304405874499333,262.0,0.34979973297730305,295,0.3938584779706275,227,522,1.0871647509578544,190,559,1.0196779964221825,2021,2023
BK0104,East Williamsburg,Brooklyn,0,Residential/Mixed,True,3223,52600,4.855824116197345,61.27376425855513,663.7390323198053,0.4089357741234874,0.17654359292584548,0.13807012100527458,0.08253180266832144,0.001861619609059882,0.18988520012410798,0.0021718895439031957,0.0,1116.0,0.3462612472851381,576.0,0.1787154824697487,485.0,0.15048091839900712,1046.0,0.32454235184610614,746,0.23146137139311201,1489,1734,2.14677047289504,867,2356,1.1039898132427843,2021,2023
BK0201,Brooklyn Heights,Brooklyn,0,Residential/Mixed,True,1318,25277,0.927369453926745,52.142263718004514,1421.2242967667466,0.13429438543247343,0.1274658573596358,0.03338391502276176,0.11229135053110774,0.007587253414264037,0.29817905918057663,0.2867981790591806,0.0,226.0,0.17147192716236723,150.0,0.11380880121396054,283.0,0.21471927162367224,659.0,0.5,361,0.2738998482549317,422,896,1.1774553571428572,357,961,1.1144640998959419,2021,2023
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,0,Residential/Mixed,True,4555,39872,2.204733852716745,114.24056982343498,2066.0090080202563,0.6245883644346871,0.0871569703622393,0.03336992316136114,0.030296377607025245,0.0008781558726673985,0.17014270032930845,0.05290889132821076,0.0006586169045005489,758.0,0.166410537870472,716.0,0.15718990120746432,1309.0,0.28737650933040615,1772.0,0.3890230515916575,1757,0.3857299670691548,1356,3199,1.0597061581744296,1097,3458,0.9517061885482938,2021,2023
BK0203,Fort Greene,Brooklyn,0,Residential/Mixed,True,1600,34036,1.6289385421541493,47.00904924197908,982.2347243893681,0.270625,0.14625,0.091875,0.101875,0.00375,0.375,0.005,0.005625,361.0,0.225625,243.0,0.151875,352.0,0.22,644.0,0.4025,481,0.300625,578,1022,1.413894324853229,328,1272,0.7735849056603773,2021,2023
BK0204,Clinton Hill,Brooklyn,0,Residential/Mixed,True,1140,27123,1.3532871494782028,42.03074881097224,842.3932795338804,0.41228070175438597,0.12105263157894737,0.07719298245614035,0.07280701754385965,0.0017543859649122807,0.30526315789473685,0.0061403508771929825,0.0035087719298245615,255.0,0.2236842105263158,183.0,0.16052631578947368,255.0,0.2236842105263158,447.0,0.39210526315789473,352,0.3087719298245614,402,738,1.3617886178861789,287,853,1.0093786635404456,2021,2023
BK0261,Brooklyn Navy Yard,Brooklyn,6,Industrial/Transportation,False,83,0,0.9389625539767602,,88.39543137100895,0.5301204819277109,0.12048192771084337,0.12048192771084337,0.024096385542168676,0.012048192771084338,0.1927710843373494,0.0,0.0,13.0,0.1566265060240964,11.0,0.13253012048192772,24.0,0.2891566265060241,35.0,0.42168674698795183,29,0.3493975903614458,34,49,1.7346938775510203,5,78,0.19230769230769232,2021,2023
BK0301,Bedford-Stuyvesant (West),Brooklyn,0,Residential/Mixed,True,3863,89800,3.4287526600873024,43.01781737193764,1126.6487795890303,0.46000517732332386,0.1724048666839244,0.11001812063163345,0.07196479420139788,0.0064716541548019675,0.17525239451203728,0.0020709293295366298,0.0018120631633445508,1389.0,0.3595651048407973,485.0,0.12555009060315817,640.0,0.16567434636293035,1349.0,0.34921045819311414,853,0.22081283976184313,1581,2282,1.7320333041191938,1050,2813,1.1198009242801281,2021,2023
BK0302,Bedford-Stuyvesant (East),Brooklyn,0,Residential/Mixed,True,4477,92641,3.8359521434598194,48.32633499206615,1167.115707539039,0.6064328791601519,0.1380388653115926,0.07951753406298862,0.06097833370560643,0.005807460352914898,0.10609783337056064,0.002233638597274961,0.0008934554389099843,1827.0,0.40808577172213534,742.0,0.1657359839178021,614.0,0.1371454098726826,1294.0,0.28903283448737993,930,0.20772838954657136,1873,2604,1.7981950844854073,1225,3252,1.1300738007380073,2021,2023
